id,llm_wer,baseline_wer,ground_truth,llm_prediction,baseline_prediction
8,0.17,0.0,has such a high clay content,has such a high clean content,has such a high clay content
16,0.1,0.0,he is also a member of the royal irish academy,he is also a member of the royal iris academy,he is also a member of the royal irish academy
20,0.11,0.0,you just really can't tell what's going to happen,you just really can't tell what's going to,you just really can't tell what's going to happen
23,0.2,0.0,it's really not too difficult,it's really not too,it's really not too difficult
30,0.08,0.0,she came last june and watched a game in the sky dome,she came last june and watched a game in the seay dome,she came last june and watched a game in the sky dome
53,0.14,0.0,he said he's been saying one more,he said he's been seeing one more,he said he's been saying one more
54,0.0,0.12,i can't really think of anything else offhand,i can't really think of anything else offhand,i can't really think of anything else fate
55,0.11,0.0,i couldn't even think of what you call them,i couldn't mission think of what you call them,i couldn't even think of what you call them
67,0.12,0.25,he put up all of his ash trays,he put up all of his hatch trays,he put up all of his oak trees
74,0.1,0.2,i guess we don't really use that many tin cans,i guess we don't really use that many tin cats,i guess we don't really use that many ten cats
77,0.0,0.2,he had a hot pad,he had a hot pad,he had a hot pan
84,0.09,0.0,do you go by the ads when you look at them,do you go buy the ads when you look at them,do you go by the ads when you look at them
92,0.17,0.33,their economy's a little bit weak,their condiments a little bit weak,their economy it's a little bit weak
101,0.1,0.0,i know we've had this one lady that was attacked,i know we've had this one lady that was,i know we've had this one lady that was attacked
106,0.14,0.0,i have some neighbors across the field,i have some neighbours across the field,i have some neighbors across the field
118,0.2,0.0,it's a weakness and all,it's a wellness and all,it's a weakness and all
134,0.2,0.0,it's like a major production,it's like a major,it's like a major production
135,0.1,0.0,we ended up watching it for a couple of hours,we ended up watching it for a couple of,we ended up watching it for a couple of hours
137,0.33,0.0,anything on that,anything on,anything on that
139,0.12,0.0,what will be a luxury in the future,what will be a luxury in the,what will be a luxury in the future
148,0.2,0.0,helps them understand the world,helps them understand the,helps them understand the world
153,0.33,0.0,guided by voices,guided by,guided by voices
155,0.18,0.09,i wanted him to win best actor on top of it,i wouldn't him to win best actor on top of,i wouldn't him to win best actor on top of it
157,0.17,0.0,you look down at your arm,you look down at your hom,you look down at your arm
162,0.5,0.25,the islanders sleep inside,the lovers sleep,the lovers sleep inside
163,0.2,0.4,they are the detroit delegates,they are the detroit,they are the detroit tell us
164,0.67,0.0,they have coupons,they have cute pies,they have coupons
165,0.6,0.4,i can't believe they can,i can't betray,i get it they can
168,0.25,0.0,easiest way out maybe,easiest way out,easiest way out maybe
173,0.33,0.0,enjoy the holidays,enjoy the,enjoy the holidays
174,0.33,0.0,no easy choices,no easy,no easy choices
176,0.5,0.12,on probation or parole and killed someone else,on profession or befall and kid someone,on probation or parole and killed someone
178,0.43,0.29,i don't think they're in a conspiracy,i don't think there is a,i don't think there is a conspiracy
180,0.33,0.11,trump's budget is just a proposal at this point,trust trump's budget is just a propeller at this,from trump's budget is just a proposal at this point
181,0.11,0.0,we've had one as long as i can remember,we've had one as long as i can,we've had one as long as i can remember
193,0.12,0.0,tim would like to take on other genres,tim would like to take on other chevron,tim would like to take on other genres
203,0.17,0.0,you can't get all of us,no you can't get all of us,you can't get all of us
219,0.25,0.0,a liberal arts school,a a liberal arts school,a liberal arts school
222,0.0,0.33,you actually hand quilted it yourself,you actually hand quilted it yourself,you actually had wanted it yourself
229,0.12,0.0,you can come and go as you please,you can come and go as you place,you can come and go as you please
234,0.25,0.0,just the regular channel,just the regular,just the regular channel
235,0.25,0.0,he plays pretty regularly,he plays pretty,he plays pretty regularly
242,1.5,2.5,zoology department,you lit departed,you call it a party
247,0.17,0.5,pay and exhaustion and you know,pay and exception and you know,an exception and you know
248,0.2,0.0,all my aunts and uncles,all my aunts and oelkers,all my aunts and uncles
249,0.4,0.2,a restaurant that employs minorities,a restaurateur that employs,a restaurant that employs minority
252,0.29,0.14,i have more energy when i exercise,i have more innocent when i injustices,i have more energy when i injustices
267,0.5,0.25,regime change in iran,reject change in around,regime change in early
284,0.0,0.2,they are tempting at times,they are tempting at times,they are something at times
286,0.33,0.17,put a cramp in your viewing,but a cramp in your veering,but a cramp in your viewing
287,0.0,0.17,the vines are really taking over,the vines are really taking over,the fines are really taking over
291,0.0,0.25,i have a standard,i have a standard,i have a stern
294,0.18,0.09,i love all the windows that they have out now too,i love all the winders that they have out now to,i love all the wonders that they have out now too
301,0.25,0.0,because that's perfectly clean,because that's probably clean,because that's perfectly clean
304,0.25,0.0,they're just so suspenseful,they're just so substantial,they're just so suspenseful
305,0.0,0.25,i don't like administration,i don't like administration,i don't like a
316,0.29,0.0,a producer of movies in baltimore called,a prohibition of movies in parliament called,a producer of movies in baltimore called
318,0.0,0.25,barbecues and mexican food,barbecues and mexican food,beans and mexican food
321,0.14,0.0,i have my own policy on freeloaders,i have my own policy on realtors,i have my own policy on freeloaders
335,0.0,0.08,and everyone involved in the case bar the jury had been here before,and everyone involved in the case bar the jury had been here before,and everyone involved in the case for the jury had been here before
336,0.14,0.0,a dog is featured below the text,a dog is pictured below the text,a dog is featured below the text
343,0.5,0.0,and hurricane jose had not turned north yet,and oregon also and not turned north that,and hurricane jose had not turned north yet
347,0.33,0.44,i just stood there and soaked it all up,i just to start there and sort it all up,just to start there and set it all up
372,0.5,0.17,taylor attributed this to confirmation bias,dealer enjoyment this to confirmation buyers,dealer attributed this to confirmation bias
377,0.4,0.6,this is headache powders revisited,this is heading powders revision,this is adding powers revision
381,0.44,0.11,the hercules and rainbow stag beetles are highlights here,the hercules and grable stack medals are headlines here,the hercules and rainbow stag beetles are headlines here
387,0.09,0.0,are either or both dogs considered dangerous under davis county ordinance,are either or both dogs decided dangerous under davis county ordinance,are either or both dogs considered dangerous under davis county ordinance
390,0.12,0.0,the quantity you chose exceeds the quantity available,the quantity you chose exists the quantity available,the quantity you chose exceeds the quantity available
393,0.1,0.0,is it a novelty or a real coin of importance,is it a novelty or a real kind of importance,is it a novelty or a real coin of importance
