id,llm_wer,baseline_wer,ground_truth,llm_prediction,baseline_prediction
4,0.2,0.0,were quite vocal about it,we're quite vocal about it,were quite vocal about it
8,0.17,0.0,has such a high clay content,has such a high click content,has such a high clay content
10,0.12,0.0,wait a minute we know this thing isn't,what a minute we know this thing isn't,wait a minute we know this thing isn't
18,0.17,0.0,put that back in the saucepan,put that back in the,put that back in the saucepan
20,0.11,0.0,you just really can't tell what's going to happen,you just really can't tell what's going to,you just really can't tell what's going to happen
23,0.2,0.0,it's really not too difficult,it's really not too,it's really not too difficult
30,0.17,0.0,she came last june and watched a game in the sky dome,she came last june and watched a game in the same time,she came last june and watched a game in the sky dome
39,1.0,0.5,employee benefits,employing,employing benefits
51,0.33,0.0,the grand canyon,the grande canyon,the grand canyon
52,0.5,0.0,the experience,the,the experience
53,0.14,0.0,he said he's been saying one more,he said he's been seeing one more,he said he's been saying one more
54,0.0,0.12,i can't really think of anything else offhand,i can't really think of anything else offhand,i can't really think of anything else fate
55,0.11,0.0,i couldn't even think of what you call them,i couldn't given think of what you call them,i couldn't even think of what you call them
57,0.2,0.0,they waited a couple years,they wanted a couple years,they waited a couple years
69,0.17,0.0,if there was a credible punishment,if there was a credible,if there was a credible punishment
74,0.1,0.2,i guess we don't really use that many tin cans,i guess we don't really use that many tin cats,i guess we don't really use that many ten cats
77,0.0,0.2,he had a hot pad,he had a hot pad,he had a hot pan
78,0.2,0.0,sometimes they're not very open,sometimes their not very open,sometimes they're not very open
84,0.09,0.0,do you go by the ads when you look at them,do you go by the hands when you look at them,do you go by the ads when you look at them
85,0.25,0.0,do you get cable,do you get able,do you get cable
91,0.12,0.0,so thank you for not using the exploit,so thank you for not using the,so thank you for not using the exploit
92,1.0,0.33,their economy's a little bit weak,there condiments eke,their economy it's a little bit weak
